coingecko-id:,cardano,apecoin,arbitrum,astroport-fi,cosmos,aurora-near,avalanche-2,benqi-liquid-staked-avax,binancecoin,bitcoin,dogecoin,polkadot,ethereum,wrapped-steth,gmx,hedera-hashgraph,hbarx,indigo-dao-governance-token,kujira,lido-dao,chainlink,litecoin,terra-luna-2,mantadao,near,harmony,optimism,osmosis,pax-gold,benqi,lion-dao,snek,havven,solana,undead-blocks,tether,usd-coin
2025-02-08,0.698848,0.686365,0.44328,0.01688511,4.53,0.12662,24.52,29.08,624.72,96484,0.252324,4.65,2630.74,3135.5,16.5818829,0.2326981478,0.3044984227,1.034,0.327611,1.51,18.27,104.47,0.252012,0.110261,3.289,0.01421211,1.045,0.29591,2877.62,0.01029052,0.000000809372,0.00420285,0.972442,196.65,0.00246041,0.999938,0.999946
2025-02-09,0.691431,0.68832,0.454848,0.01612749,4.6,0.1326,24.86,29.51,620.56,96230,0.25283,4.79,2645.9,3156.78,20.14099935,0.2345678102,0.3070082717,1.004,0.354995,1.48,18.41,106.49,0.254307,0.111014,3.1838,0.01470116,1.067,0.298833,2882.7,0.01036585,0.00000082515,0.0042176,0.964764,200.08,0.00246995,1,0.999808
2025-02-10,0.7037,0.704897,0.464088,0.01600667,4.77,0.12669,25.51,30.32,602.59,97389,0.251322,4.85,2653.07,3157.68,23.10113935,0.2289485072,0.2986172053,1.004,0.371836,1.53,18.7,117.84,0.257252,0.112098,3.2017,0.01508252,1.095,0.301479,2925.7,0.01037417,0.000000835463,0.00431026,0.973943,204.85,0.00246083,1,1
2025-02-11,0.802768,0.727305,0.47026,0.01522481,4.84,0.13136,26.4,31.38,636.21,97343,0.260855,4.99,2668.68,3194.05,24.1674182,0.2317247609,0.305316944,1.13,0.386677,1.61,19.22,127.92,0.263332,0.114185,3.2042,0.01602686,1.093,0.307808,2913.12,0.01034738,0.000000847869,0.00487517,1.003,200.42,0.00247984,1,0.999945
2025-02-12,0.766652,0.715865,0.464692,0.01532184,4.74,0.13065,24.92,29.7,658.12,95577,0.252808,5.06,2597.51,3107.06,23.14658931,0.228875586,0.3001091093,1.093,0.368319,1.51,18.06,116.77,0.263092,0.110769,3.4262,0.01549697,1.052,0.299502,2916.83,0.01012211,0.000000840321,0.00450644,0.963375,191.02,0.00246196,0.99987,0.999903
2025-02-13,0.784763,0.741793,0.484943,0.01500974,5.01,0.13061,25.54,30.43,724.37,96171,0.257681,5.18,2665.18,3181.5,19.92579297,0.2340297933,0.3061616728,1.1,0.369507,1.68,18.54,121.33,0.267486,0.113799,3.3716,0.01626505,1.11,0.308801,2935.75,0.01010366,0.000000853083,0.00452893,1.003,191.21,0.00248296,1,0.999975
2025-02-14,0.801538,0.738042,0.496393,0.01500187,4.89,0.12437,25.95,30.83,665.99,96611,0.267562,5.21,2689.53,3201.18,19.6098799,0.2251081773,0.2952085202,1.13,0.372969,1.81,18.97,127.99,0.267752,0.114711,3.5477,0.0158854,1.15,0.311387,2948.35,0.00988284,0.000000856442,0.00495563,0.996279,197.11,0.00247026,1,0.999928
2025-02-15,0.791912,0.727419,0.481794,0.01494607,4.95,0.12655,26.03,31.08,660.22,97690,0.278483,5.09,2706.34,3235.96,20.47041415,0.2310198311,0.3030381637,1.1,0.374074,1.83,19.13,131.79,0.267099,0.115049,3.4058,0.01523087,1.14,0.314532,2906.32,0.01002546,0.000000853923,0.00495132,1.002,195.02,0.0024791,1,0.999953
2025-02-16,0.772972,0.716945,0.482884,0.01523105,4.83,0.12399,25.17,30.01,663.68,96880,0.267399,4.93,2697.58,3226.77,20.1734332,0.2289030472,0.3007224522,1.1,0.367052,1.8,18.94,130.68,0.265868,0.113706,3.4161,0.01539267,1.13,0.327357,2896.55,0.01009165,0.000000856858,0.00489496,1.001,191.51,0.00247001,0.999952,0.99992
2025-02-17,0.806141,0.72775,0.494405,0.01533133,4.85,0.12464,25.53,30.44,674.34,96325,0.264492,4.98,2762.94,3302.29,20.54236491,0.2195612678,0.2897960615,1.14,0.344251,1.89,19.43,123.98,0.270504,0.11258,3.254,0.01569372,1.17,0.326989,2919.77,0.01001484,0.000000857208,0.00490462,1.015,185.56,0.00247013,0.999981,0.999991
2025-02-18,0.791288,0.69123,0.469896,0.01510337,4.65,0.12301,24.09,28.72,658.87,96360,0.253438,4.79,2699.78,3227.54,19.93103132,0.2118765118,0.2777983037,1.24,0.321533,1.87,18.21,127.19,0.253381,0.11071,3.1322,0.0150748,1.098,0.31319,2934.34,0.00949629,0.000000808326,0.00471037,0.958461,169.6,0.00246095,0.999794,0.999895
2025-02-19,0.763505,0.676185,0.468614,0.01462163,4.67,0.12468,23.72,28.24,655.21,96197,0.253479,4.86,2711.42,3239.54,19.62617323,0.2067207069,0.2710922997,1.2,0.315447,1.73,18.04,135.7,0.252018,0.110872,3.1558,0.01484264,1.14,0.313373,2953.29,0.00946071,0.000000814078,0.00444129,0.971045,171.99,0.00246834,0.999824,0.999903
2025-02-20,0.787088,0.679301,0.48302,0.01486924,4.88,0.12392,24.56,29.33,648.39,97364,0.25389,4.95,2737.28,3271.42,19.65356451,0.215741971,0.2838916842,1.28,0.317145,1.71,18.1,128.11,0.253151,0.113707,3.4692,0.01592937,1.16,0.336766,2957.5,0.00963772,0.000000815913,0.00458486,0.964139,172.91,0.00247032,1,0.999904
2025-02-21,0.805707,0.750832,0.506142,0.01501306,5.04,0.12311,26.05,30.93,666.62,99221,0.25864,5.23,2816.28,3356.15,19.59204524,0.2224492663,0.2921681675,1.52,0.32859,1.85,18.86,135.09,0.267072,0.115208,3.3061,0.01726462,1.19,0.346722,2950.44,0.00992384,0.000000833567,0.00461053,1.064,179.59,0.00247968,1,0.999883
2025-02-22,0.771439,0.705078,0.478438,0.01498062,4.85,0.11915,25.61,30.49,655.44,96708,0.243489,5.1,2727.6,3253.82,19.35499995,0.213231117,0.2808997982,1.48,0.354946,1.68,17.61,127.83,0.252325,0.11344,3.4751,0.0165261,1.11,0.338541,2950.35,0.00962645,0.000000794091,0.00446701,0.989005,173.05,0.0024594,0.99987,0.999989
2025-02-23,0.773939,0.716021,0.480141,0.01452137,4.92,0.12463,25.06,29.79,656.8,95932,0.244697,5.02,2799.8,3332.2,19.81135767,0.2166186872,0.2845730552,1.53,0.344765,1.7,17.68,127.52,0.253775,0.114128,3.4278,0.01643634,1.17,0.341729,2970.12,0.00966723,0.000000807324,0.00443906,1.011,169.37,0.00246203,1,0.999971
2025-02-24,0.712786,0.646535,0.439574,0.01386261,4.62,0.12324,23.02,27.52,632.15,93798,0.223928,4.64,2641.28,3158.71,19.77745245,0.2117223004,0.2773718196,1.34,0.345174,1.54,16.11,120.94,0.236951,0.110521,3.0564,0.01447901,1.06,0.335908,2951.79,0.00901207,0.000000758305,0.00401685,0.944795,151.53,0.00246497,0.999911,0.99988
2025-02-25,0.660385,0.592576,0.409975,0.01356568,4.28,0.11468,21.33,25.53,613.89,89053,0.207224,4.41,2425.59,2890.06,18.26153024,0.19654101,0.2586216566,1.14,0.335233,1.4,14.78,112.4,0.222288,0.102448,3.0049,0.0138026,1.004,0.299064,2964.28,0.00842733,0.000000697083,0.00352144,0.867454,139.05,0.00262712,0.9996,0.999881
2025-02-26,0.665372,0.623491,0.415889,0.01342458,4.52,0.11539,21.77,25.97,618.12,87732,0.206147,4.76,2428.14,2909.34,18.22232954,0.1980505809,0.2615752553,1.21,0.359857,1.35,15.27,123.41,0.224051,0.104345,3.004,0.0141454,1.062,0.311598,2924.67,0.00854634,0.000000696434,0.00360607,0.882914,136.82,0.0024664,0.999026,0.999874
2025-02-27,0.674247,0.654644,0.431209,0.01384348,4.69,0.1107,23.06,27.39,609.74,86248,0.209378,5.07,2343.76,2800.81,18.17556086,0.1955652769,0.258119084,1.24,0.374351,1.37,15.61,130.05,0.233327,0.101262,3.0561,0.01483901,1.15,0.313215,2898.55,0.00898457,0.000000716141,0.00353498,0.917794,140.1,0.00245878,0.999009,0.999901
2025-02-28,0.605657,0.604217,0.398146,0.01374058,4.34,0.1097,21.09,25.02,575.01,81075,0.18728,4.61,2130.02,2529.69,18.26643857,0.1993945761,0.2624069009,1.023,0.334242,1.2,13.92,121.25,0.217313,0.093424,3.0654,0.01365933,1.031,0.291892,2858.16,0.00848532,0.00000066365,0.00279682,0.848676,136.31,0.0024787,0.999152,0.999804
2025-03-01,0.631211,0.608793,0.407154,0.01367347,4.47,0.10996,21.3,25.45,596.06,84547,0.201656,4.56,2163.99,2601.4,18.27584665,0.2127829489,0.2802450105,1.079,0.34172,1.2,14.4,124.26,0.221673,0.097761,3.2654,0.01376405,1.054,0.296498,2860.46,0.00851045,0.00000072085,0.00306601,0.872329,140.19,0.00246973,0.999648,0.999899
2025-03-02,1.014,0.671582,0.457005,0.01380901,4.79,0.11358,24.35,28.96,626.96,92997,0.228456,5.05,2474.78,2962.5,17.43460433,0.2533633719,0.3334372444,1.68,0.374295,1.35,16.78,125.97,0.239645,0.108183,3.5443,0.01563036,1.16,0.317377,2860.96,0.00913425,0.000000763812,0.00497827,0.99113,168.09,0.00246235,0.999788,0.999991
2025-03-03,0.833999,0.568774,0.387786,0.01364401,4.21,0.12634,20.79,24.75,574.78,85955,0.198371,4.47,2129.82,2544.81,19.21809953,0.2644727793,0.3490826633,1.4,0.362494,1.087,14.44,109.91,0.210244,0.097119,2.9732,0.01341752,0.975726,0.277538,2889.16,0.00814478,0.000000623586,0.00390426,0.878112,142.3,0.00250794,0.99922,0.999785
2025-03-04,0.795037,0.536432,0.371263,0.01331282,4.06,0.11391,19.77,23.66,567.68,83388,0.1913,4.18,2088.53,2500.07,15.91032123,0.2234964144,0.297277764,1.34,0.355024,1.037,13.69,100.97,0.203005,0.093254,2.8151,0.01261185,0.93231,0.267943,2927.72,0.00771457,0.000000604767,0.0037281,0.878629,134.93,0.00298296,0.999486,0.999892
2025-03-05,0.957697,0.55307,0.421379,0.01243708,4.17,0.11131,20.62,24.6,591.41,88758,0.199004,4.36,2178.63,2609.47,16.04522201,0.2410881757,0.3187840562,1.63,0.330902,1.13,15.71,101.92,0.208725,0.097735,2.9981,0.01303134,0.960381,0.282482,2922.23,0.00810288,0.000000568238,0.00438305,0.931316,142.47,0.00293707,0.999871,0.999912
2025-03-06,0.929938,0.572586,0.417262,0.01204817,4.39,0.11285,21.68,25.81,600.74,90257,0.207348,4.51,2268.81,2705.65,16.23194496,0.2498125129,0.3291600617,1.55,0.331737,1.19,17.05,105.76,0.212568,0.101144,3.0634,0.01373246,0.996872,0.297404,2918.49,0.00859034,0.000000632136,0.00414088,0.923822,148.68,0.00299296,0.999966,0.999977
2025-03-07,0.875973,0.56661,0.40663,0.01149417,4.37,0.11011,20.67,24.7,602.52,89675,0.205145,4.63,2193.51,2616.34,15.94323876,0.2378292735,0.3135489644,1.45,0.320101,1.13,17.02,104.99,0.209455,0.097848,2.9437,0.01340534,0.970433,0.289136,2938.14,0.00845415,0.000000602041,0.00385128,0.90742,143.82,0.00299026,1,0.999955
2025-03-08,0.814328,0.543082,0.391598,0.01112024,4.15,0.1118,19.77,23.55,597.33,86223,0.195046,4.39,2171.42,2595.23,15.41996286,0.2331534501,0.307558907,1.34,0.312939,1.051,15.43,105.13,0.200797,0.095067,2.881,0.01272696,0.935205,0.278524,2936.16,0.00817473,0.000000576401,0.00328047,0.871988,137.82,0.002979,0.999664,0.999805
2025-03-09,0.774243,0.526897,0.375814,0.01069617,4.01,0.10838,19.59,23.34,576.9,84383,0.184149,4.24,2137.16,2555.11,15.3576353,0.2267963109,0.2996942422,1.28,0.321171,1.029,14.62,98.61,0.19417,0.094663,2.554,0.01202276,0.905428,0.273359,2938.95,0.00803985,0.000000554564,0.00344696,0.863869,134.6,0.00301671,0.999762,0.999897
2025-03-10,0.759935,0.523303,0.367787,0.01083554,4.03,0.10034,18.86,22.47,568.24,83293,0.177586,4.23,2124.93,2543.52,13.93096251,0.1996564878,0.2628834097,1.24,0.313173,1.049,14.28,98,0.189969,0.092486,2.2924,0.01218032,0.924145,0.274145,2917.07,0.00754475,0.00000051978,0.00327613,0.884773,130.11,0.00257995,0.999962,0.999885
2025-03-11,0.712339,0.473756,0.325633,0.01062428,3.64,0.09023,16.94,20.29,544.5,80668,0.157525,3.91,1885.97,2257.88,13.67044552,0.1905294084,0.2522312364,1.13,0.303182,0.853169,12.72,87.1,0.176547,0.087176,2.4483,0.01040518,0.814224,0.243314,2917,0.0069656,0.000000462867,0.00290377,0.774553,122.22,0.00241706,0.999739,0.999844
2025-03-12,0.752507,0.524724,0.346493,0.01069375,3.9,0.09858,18.68,22.22,558.93,83443,0.170446,4.01,1911.96,2284.31,13.98606885,0.1957447737,0.2584383245,1.22,0.303772,0.930223,13.51,91.31,0.19339,0.089854,2.5518,0.01120975,0.863526,0.261978,2930.88,0.00742242,0.000000514022,0.00351087,0.833557,128.12,0.00244302,0.999738,0.999884
2025-03-13,0.730145,0.505414,0.349169,0.01058219,3.91,0.09635,18.88,22.5,578.64,82862,0.169973,4.06,1897.78,2278.1,14.22805469,0.2007529741,0.2630775637,1.18,0.308952,0.904939,13.37,90.08,0.193321,0.090009,2.5703,0.01112594,0.861186,0.266292,2965.28,0.00748659,0.000000506561,0.00344186,0.820698,126.8,0.00235261,0.999758,0.999891
2025-03-14,0.721086,0.516252,0.353219,0.01065759,4.04,0.09616,18.62,22.07,581.39,82734,0.170273,4.12,1900.12,2262.95,14.0056978,0.1892165364,0.2496747483,1.086,0.335068,0.923028,14.17,90,0.198652,0.090575,2.6086,0.01127494,0.866501,0.274206,2999.6,0.0074096,0.000000507659,0.00328095,0.834509,128.78,0.00239012,0.999867,0.999792
2025-03-15,0.747028,0.516836,0.362542,0.01079162,4.48,0.09782,18.57,22.1,597.25,84190,0.174769,4.37,1929.06,2306.57,15.41177987,0.1922653757,0.2548544387,1.12,0.343675,0.961766,14.02,93.64,0.202313,0.092492,2.6443,0.01133392,0.868105,0.295752,2990.93,0.00744255,0.000000493421,0.0034894,0.846912,133.9,0.00240037,1,0.999892
2025-03-16,0.70654,0.508768,0.349607,0.01070874,4.56,0.10023,18.43,21.96,594.46,82482,0.167826,4.2,1874.79,2239.53,16.75364836,0.1924571815,0.2540532593,1.062,0.343492,0.907152,13.54,88.99,0.20468,0.091179,2.5213,0.0109406,0.841639,0.2919,2993.28,0.00753889,0.000000496631,0.00316797,0.822553,130.09,0.00226132,0.999948,0.999859
2025-03-17,0.724292,0.519336,0.368997,0.01068866,4.6,0.09762,18.62,22.17,631.2,83513,0.17311,4.37,1910.59,2288.11,14.48956005,0.1851392323,0.2445846414,1.082,0.335587,0.958078,13.82,93.05,0.213381,0.090885,2.639,0.01153012,0.868733,0.294561,3002.23,0.00779046,0.00000050995,0.00334389,0.847919,129.15,0.00230897,0.99983,0.999845
2025-03-18,0.700924,0.532632,0.359187,0.01087921,4.77,0.09855,18.79,22.41,632.14,82576,0.166486,4.27,1895.35,2267.93,14.80641813,0.1914843905,0.2528477354,1.036,0.311483,0.918172,13.75,88.53,0.202196,0.090936,2.5898,0.01121205,0.861367,0.289091,3052.16,0.00792751,0.000000530365,0.00321584,0.840869,123.34,0.00241773,0.999863,0.999874
2025-03-19,0.738781,0.530478,0.379233,0.01076321,4.69,0.0977,19.74,23.5,609.92,84277,0.172709,4.51,2032.56,2431.64,14.47181521,0.1887964314,0.2486928439,1.18,0.313639,1.044,14.55,91.7,0.206592,0.090785,2.7951,0.01181046,0.930307,0.289528,3058.48,0.00820416,0.000000537453,0.00344924,0.866718,131.61,0.00239045,0.999971,0.999779
2025-03-20,0.729532,0.517325,0.371101,0.0107758,4.63,0.09961,18.82,22.45,623.95,85074,0.17142,4.4,1986.57,2376.11,14.88844077,0.1977586247,0.2604733994,1.13,0.303145,0.998128,14.53,91.49,0.203921,0.090755,2.7367,0.0119231,0.889139,0.288053,3054.86,0.00800124,0.000000549435,0.00333108,0.87197,130.19,0.00238855,0.999587,0.999799
2025-03-21,0.710726,0.512966,0.363929,0.01079183,4.53,0.09873,18.58,22.16,636.23,84182,0.167974,4.43,1969.78,2355.98,14.27864747,0.1899194061,0.2496733841,1.12,0.293204,0.993496,14.09,93.4,0.201629,0.089404,2.708,0.01139164,0.850806,0.284698,3057.21,0.00788245,0.000000549435,0.00310419,0.838209,126.61,0.00233895,0.999492,0.999883
2025-03-22,0.707607,0.535951,0.367236,0.01072958,4.79,0.10024,19.38,23.07,627.78,84126,0.16812,4.47,1988.22,2387.24,14.32254236,0.184224235,0.2433477152,1.1,0.296878,1.014,14.23,91.06,0.205986,0.09028,2.7236,0.0117571,0.857037,0.291805,3042.37,0.00809923,0.000000525711,0.00310506,0.85847,129.5,0.00232941,0.999737,0.999932
2025-03-23,0.708221,0.535453,0.369637,0.01057047,4.78,0.10297,19.56,23.29,623.66,84819,0.170948,4.47,2011.01,2409.07,14.47056236,0.1821703897,0.240680994,1.069,0.295156,1.051,14.35,92.08,0.207336,0.091271,2.7702,0.01164631,0.857268,0.296334,3050.21,0.00812688,0.000000551833,0.00307766,0.867109,133.21,0.0024316,0.999841,0.99987
2025-03-24,0.731523,0.556426,0.385457,0.01049543,4.85,0.09982,21.9,26.07,627.08,87734,0.177,4.69,2084.81,2494.85,14.45486422,0.1855316227,0.2446124221,1.11,0.300479,1.067,15.17,93.5,0.215423,0.093453,2.9127,0.01260172,0.901888,0.302329,3040.7,0.00877791,0.000000536435,0.0033563,0.910099,144.21,0.00236072,1,0.999791
2025-03-25,0.755786,0.55872,0.388137,0.01046621,4.85,0.10294,22.45,26.7,633.37,87678,0.188069,4.68,2063.91,2467.8,14.70063892,0.1925016617,0.2544399588,1.13,0.308936,1.058,15.35,93.48,0.213943,0.094023,3.0276,0.01270742,0.893923,0.299732,3041.08,0.00890659,0.000000531605,0.00359331,0.901023,145.62,0.00232936,1,0.999797
2025-03-26,0.749543,0.55898,0.387865,0.01038564,4.93,0.10125,22.31,26.61,625.83,86934,0.198596,4.67,2030.26,2436.2,14.14,0.1948849462,0.2566845958,1.12,0.302786,1.043,15.57,94.07,0.214605,0.093525,2.9874,0.01264549,0.897162,0.302236,3023.95,0.00891752,0.000000531177,0.00375937,0.921396,141.41,0.00237864,1,0.999845
2025-03-27,0.73268,0.552848,0.380157,0.00997142,4.78,0.1,21.87,26.06,630.62,87014,0.193832,4.57,2018.83,2415.28,14.22,0.1916839223,0.2521679527,1.077,0.303287,1.031,15.49,94,0.210016,0.092502,3.0106,0.01283628,0.895914,0.295432,3060.94,0.00863624,0.00000050568,0.00376032,0.906529,137.59,0.00238064,1,0.999888
2025-03-28,0.701431,0.499117,0.352766,0.00978193,4.6,0.0978,20.41,24.37,629.69,85202,0.181232,4.26,1890.12,2263.68,13.23,0.1934702973,0.2552324324,1.026,0.293816,0.926621,14.28,87.74,0.194065,0.089261,2.7339,0.01200932,0.83254,0.281888,3084.57,0.00804404,0.000000472806,0.003441,0.842466,131.2,0.00200421,0.999654,0.999891
2025-03-29,0.672189,0.483402,0.335769,0.00987359,4.42,0.09211,20.17,24,603.84,82517,0.170801,4.09,1854.7,2219.29,12.99,0.1819995458,0.2395876371,0.968998,0.270819,0.890281,13.72,86.29,0.187964,0.086412,2.5657,0.01129627,0.785489,0.264556,3106.07,0.00783523,0.000000453919,0.00317352,0.794503,125.82,0.0020192,0.999536,0.9999
2025-03-30,0.67611,0.479223,0.335428,0.00993918,4.33,0.08827,19.41,23.21,605.3,83235,0.170277,4.11,1837.63,2191.39,12.32,0.1719049235,0.2258553288,0.987288,0.271011,0.870297,13.75,86.14,0.18799,0.085282,2.589,0.0109985,0.760864,0.265733,3125.59,0.00786642,0.000000455214,0.00322574,0.783686,125.28,0.00200459,0.999711,0.999895
2025-03-31,0.642706,0.470464,0.325019,0.0096728,4.27,0.08946,18.62,22.26,595.33,82050,0.163192,4.02,1812.05,2171.06,11.82,0.1677668441,0.2207225329,0.921647,0.262409,0.860778,13.19,82,0.185934,0.082133,2.5133,0.01064489,0.736925,0.257962,3143.32,0.00747313,0.000000448919,0.00301624,0.753011,123.98,0.00200964,0.999866,0.999919
2025-04-01,0.675966,0.483636,0.334103,0.00985536,4.47,0.08602,19.48,23.23,613.28,84076,0.17116,4.2,1867.03,2237.68,12.21,0.1633113082,0.2157783405,0.929944,0.266739,0.892657,14,84.47,0.18749,0.084658,2.6512,0.0108768,0.751708,0.262967,3151.03,0.00766443,0.000000462622,0.00325116,0.752274,127.72,0.00200119,0.99988,0.999982
2025-04-02,0.641200,0.432780,0.306976,0.009573,4.21,0.0848,18.01,21.57,589.87,82526.00,0.16424,3.97,1795.76,2146.77,11.03,0.170119869,0.2249946021,0.888727,0.264323,0.813573,12.95,81.83,0.17506,0.083478,2.4532,0.010297,0.703125,0.243797,3187.51,0.0071027,0.00000042618,0.0030444,0.6523650,118.09,0.00201936,0.99988,0.99998
2025-04-03,0.647049,0.438355,0.307293,0.00949933,4.63,0.0787,18.09,21.64,590.18,82452,0.159377,4.04,1800.05,2155.68,10.99,0.1614682035,0.2126539851,0.885712,0.242792,0.822126,12.77,82.75,0.168849,0.080748,2.5084,0.0105534,0.693171,0.241924,3125.35,0.00705909,0.000000413911,0.00311709,0.651564,116.3,0.0020284,0.999576,0.999876
2025-04-04,0.643071,0.440016,0.308326,0.00952541,4.86,0.07841,18.16,21.63,591.37,83049,0.165655,4.07,1792.09,2130.73,11.15,0.1626017264,0.2145747861,0.874151,0.250825,0.825671,12.67,83.27,0.168077,0.081776,2.505,0.01065967,0.698418,0.241917,3102.07,0.00706159,0.000000412377,0.0029139,0.636801,115.9,0.00200783,0.999744,0.999916
2025-04-05,0.660821,0.445125,0.313174,0.00934692,4.94,0.07849,18.22,21.82,596.61,83416,0.170014,3.98,1806.56,2166.63,11.39,0.1642723231,0.2162895034,0.901646,0.274868,0.840072,12.88,83.48,0.16935,0.082266,2.4473,0.01047272,0.703559,0.244749,3061.66,0.00730275,0.000000421217,0.00308041,0.684989,120.16,0.00198921,0.999636,0.999929
2025-04-06,0.637004,0.433504,0.302535,0.00951497,4.72,0.07751,17.15,20.58,588.06,82818,0.164165,3.93,1788.71,2141.58,11.05,0.1622203768,0.2141856208,0.862153,0.300414,0.803046,12.6,81.21,0.167325,0.081797,2.1555,0.01032163,0.680438,0.232456,3062.77,0.00730491,0.00000039897,0.00288847,0.670574,118.3,0.00200958,0.99947,0.999878
2025-04-07,0.572875,0.395532,0.272602,0.00935757,4.38,0.0702,16.35,19.56,552.73,78312,0.147174,3.59,1558.15,1876.39,11.31,0.139555638,0.1844795024,0.768541,0.243717,0.705791,11.3,70.24,0.152253,0.073421,2.1214,0.00952581,0.60793,0.213133,3029.92,0.00700069,0.00000037645,0.00243892,0.609129,106.28,0.00166236,0.999497,0.999996
